id,date_of_journey,mobile_number,adult_count,child_count,proceed_status,created_at,updated_at,fktrain_number,fksource_code,fkdestination_code,fkboarding_at,fkcoach_type,fkreservation_type,pnr,pnr_status,fkpassengerdata,fkpassengerdata_rac,seat_sequence_number,seat_status,current_seat_status,updated_seat_status,createdat,updatedat,coach,berth,fk_seatsondate_sl,seat_number,seat_status_copy,fkbookingdata,p_name,p_age,p_gender,preferred_berth,is_child,is_senior,is_adult,base_fare,cancellation_status,refund_amount
2812,2025-11-04,8924713643,3,1,true,Fri Oct 31 2025 21:08:22 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:08:22 GMT+0530 (India Standard Time),3467,6175,8495,6175,6,1,PNR001514,CNF,,,,CNF,FC3/2/UB,FC3/2/UB,,,,,,,,963,Devan,15,M,,false,false,true,95,false,
1017,2025-11-04,9850070069,1,0,true,Fri Oct 31 2025 21:05:21 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:05:21 GMT+0530 (India Standard Time),2516,2120,5895,2120,6,1,PNR001507,CNF,,,,CNF,FC3/4/UB,FC3/4/UB,,,,,,,,342,Hemant,43,M,,false,false,true,440,false,
2379,2025-11-04,6720688318,6,0,true,Fri Oct 31 2025 21:07:40 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:07:40 GMT+0530 (India Standard Time),2526,2120,2128,2120,6,1,PNR001515,CNF,,,,CNF,FC4/6/UB,FC4/6/UB,,,,,,,,819,Simran,14,F,,false,false,true,70,false,
2380,2025-11-04,6720688318,6,0,true,Fri Oct 31 2025 21:07:40 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:07:40 GMT+0530 (India Standard Time),2526,2120,2128,2120,6,1,PNR001515,CNF,,,,CNF,FC4/5/LB,FC4/5/LB,,,,,,,,819,Maya,79,F,,false,true,false,35,false,
2381,2025-11-04,6720688318,6,0,true,Fri Oct 31 2025 21:07:40 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:07:40 GMT+0530 (India Standard Time),2526,2120,2128,2120,6,1,PNR001515,CNF,,,,CNF,FC4/4/UB,FC4/4/UB,,,,,,,,819,Rajendra,66,M,,false,true,false,35,false,
2382,2025-11-04,6720688318,6,0,true,Fri Oct 31 2025 21:07:40 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:07:40 GMT+0530 (India Standard Time),2526,2120,2128,2120,6,1,PNR001515,CNF,,,,CNF,FC4/3/LB,FC4/3/LB,,,,,,,,819,Ankit,44,M,,false,false,true,70,false,
2383,2025-11-04,6720688318,6,0,true,Fri Oct 31 2025 21:07:40 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:07:40 GMT+0530 (India Standard Time),2526,2120,2128,2120,6,1,PNR001515,CNF,,,,CNF,FC4/2/UB,FC4/2/UB,,,,,,,,819,Bindu,30,F,,false,false,true,70,false,
2384,2025-11-04,6720688318,6,0,true,Fri Oct 31 2025 21:07:40 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:07:40 GMT+0530 (India Standard Time),2526,2120,2128,2120,6,1,PNR001515,CNF,,,,CNF,FC4/1/LB,FC4/1/LB,,,,,,,,819,Ashwin,47,M,,false,false,true,70,false,
2810,2025-11-04,8924713643,3,1,true,Fri Oct 31 2025 21:08:22 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:08:22 GMT+0530 (India Standard Time),3467,6175,8495,6175,6,1,PNR001514,CNF,,,,CNF,FC3/4/UB,FC3/4/UB,,,,,,,,963,Arpita,70,F,,false,true,false,47.5,false,
2811,2025-11-04,8924713643,3,1,true,Fri Oct 31 2025 21:08:22 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:08:22 GMT+0530 (India Standard Time),3467,6175,8495,6175,6,1,PNR001514,CNF,,,,CNF,FC3/3/LB,FC3/3/LB,,,,,,,,963,Venu,11,M,,false,false,true,95,false,
